service_id,date,exception_type
weekday,20240323,2
holiday,20240323,1
weekday,20240413,2
holiday,20240413,1
weekday,20240427,2
holiday,20240427,1
weekday,20240511,2
holiday,20240511,1
weekday,20240525,2
holiday,20240525,1
weekday,20240608,2
holiday,20240608,1
weekday,20240622,2
holiday,20240622,1
weekday,20240713,2
holiday,20240713,1
weekday,20240727,2
holiday,20240727,1
weekday,20240810,2
holiday,20240810,1
weekday,20240824,2
holiday,20240824,1
weekday,20240914,2
holiday,20240914,1
weekday,20240928,2
holiday,20240928,1
weekday,20241012,2
holiday,20241012,1
weekday,20241026,2
holiday,20241026,1
weekday,20241109,2
holiday,20241109,1
weekday,20241123,2
holiday,20241123,1
weekday,20241214,2
holiday,20241214,1
weekday,20241228,2
holiday,20241228,1
weekday,20250111,2
holiday,20250111,1
weekday,20250125,2
holiday,20250125,1
weekday,20250208,2
holiday,20250208,1
weekday,20250222,2
holiday,20250222,1
weekday,20250308,2
holiday,20250308,1
weekday,20240329,2
holiday,20240329,1
weekday,20240409,2
holiday,20240409,1
weekday,20240411,2
holiday,20240411,1
weekday,20240501,2
holiday,20240501,1
weekday,20240510,2
holiday,20240510,1
weekday,20240617,2
holiday,20240617,1
weekday,20240717,2
holiday,20240717,1
weekday,20240815,2
holiday,20240815,1
weekday,20240907,2
holiday,20240907,1
weekday,20240916,2
holiday,20240916,1
weekday,20241002,2
holiday,20241002,1
weekday,20241011,2
holiday,20241011,1
weekday,20241017,2
holiday,20241017,1
weekday,20241031,2
holiday,20241031,1
weekday,20241101,2
holiday,20241101,1
weekday,20241102,2
holiday,20241102,1
weekday,20241118,2
holiday,20241118,1
weekday,20241225,2
holiday,20241225,1
