fare_id,origin_id,destination_id
token10,AGPP,AGPP
token10,AGPP,DJNR
token10,AGPP,VJN
token10,APRC,APRC
token10,APRC,KLPK
token10,APRC,PUTH
token10,APTS,APTS
token10,APTS,TGTP
token10,BGUC,BGUC
token10,BGUC,PATG
token10,BGUC,RRRN
token10,BRCS,BRCS
token10,BRCS,KGWA
token10,BRCS,MIRD
token10,BSNK,BSNK
token10,BSNK,JPN
token10,BSNK,RVR
token10,BYPH,BYPH
token10,BYPH,JTPM
token10,BYPH,SVRD
token10,CBPK,CBPK
token10,CBPK,MAGR
token10,CBPK,VDSA
token10,CKPE,CKPE
token10,CKPE,KGWA
token10,CKPE,KRMT
token10,CLGA,CLGA
token10,CLGA,KGIT
token10,DJNR,AGPP
token10,DJNR,DJNR
token10,DJNR,MYRD
token10,DKIA,DKIA
token10,DKIA,GDCP
token10,DKIA,VWIA
token10,DSH,DSH
token10,DSH,JLHL
token10,DSH,NGSA
token10,GDCP,DKIA
token10,GDCP,GDCP
token10,GDCP,MDVP
token10,HLRU,HLRU
token10,HLRU,IDN
token10,HLRU,TTY
token10,HSLI,HSLI
token10,HSLI,MIRD
token10,HSLI,VJN
token10,IDN,HLRU
token10,IDN,IDN
token10,IDN,SVRD
token10,ITPL,ITPL
token10,ITPL,KDGD
token10,ITPL,SSHP
token10,JLHL,DSH
token10,JLHL,JLHL
token10,JLHL,PYID
token10,JPN,BSNK
token10,JPN,JPN
token10,JPN,PUTH
token10,JTPM,BYPH
token10,JTPM,JTPM
token10,JTPM,KRAM
token10,JYN,JYN
token10,JYN,RVR
token10,JYN,SECE
token10,KDGD,ITPL
token10,KDGD,KDGD
token10,KDGD,UWVL
token10,KDNH,KDNH
token10,KDNH,VDHP
token10,KDNH,VWIA
token10,KGIT,CLGA
token10,KGIT,KGIT
token10,KGIT,MLSD
token10,KGWA,BRCS
token10,KGWA,CKPE
token10,KGWA,KGWA
token10,KGWA,SPGD
token10,KGWA,VSWA
