route_id,service_id,trip_headsign,direction_id,shape_id,trip_id,wheelchair_accessible
GREEN,holiday,Nagasandra,1,s1068,t1060,1
GREEN,holiday,Nagasandra,1,s1068,t1062,1
GREEN,holiday,Nagasandra,1,s1068,t1064,1
GREEN,holiday,Nagasandra,1,s1068,t1066,1
GREEN,holiday,Nagasandra,1,s1068,t1068,1
GREEN,holiday,Nagasandra,1,s1068,t1070,1
GREEN,holiday,Nagasandra,1,s1068,t1072,1
GREEN,holiday,Nagasandra,1,s1068,t1074,1
GREEN,holiday,Nagasandra,1,s1068,t1076,1
GREEN,holiday,Nagasandra,1,s1068,t1079,1
GREEN,holiday,Nagasandra,1,s1068,t1081,1
GREEN,holiday,Nagasandra,1,s1068,t1083,1
GREEN,holiday,Nagasandra,1,s1068,t1085,1
GREEN,holiday,Nagasandra,1,s1068,t1087,1
GREEN,holiday,Nagasandra,1,s1068,t1089,1
GREEN,holiday,Nagasandra,1,s1068,t1091,1
GREEN,holiday,Nagasandra,1,s1068,t1093,1
GREEN,holiday,Nagasandra,1,s1068,t1095,1
GREEN,holiday,Nagasandra,1,s1068,t1097,1
GREEN,holiday,Nagasandra,1,s1068,t1099,1
GREEN,holiday,Nagasandra,1,s1068,t1101,1
GREEN,holiday,Nagasandra,1,s1068,t1103,1
GREEN,holiday,Nagasandra,1,s1068,t1105,1
GREEN,holiday,Nagasandra,1,s1068,t1107,1
GREEN,holiday,Nagasandra,1,s1068,t1109,1
GREEN,holiday,Nagasandra,1,s1068,t1111,1
GREEN,holiday,Nagasandra,1,s1068,t1112,1
GREEN,holiday,Nagasandra,1,s1068,t1114,1
GREEN,holiday,Nagasandra,1,s1068,t1116,1
GREEN,holiday,Nagasandra,1,s1068,t1118,1
GREEN,holiday,Nagasandra,1,s1068,t1120,1
GREEN,holiday,Nagasandra,1,s1068,t1122,1
GREEN,holiday,Nagasandra,1,s1068,t1124,1
GREEN,holiday,Nagasandra,1,s1068,t1126,1
GREEN,holiday,Nagasandra,1,s1068,t1128,1
GREEN,holiday,Nagasandra,1,s1068,t1129,1
GREEN,holiday,Nagasandra,1,s1068,t1131,1
GREEN,holiday,Nagasandra,1,s1068,t1133,1
GREEN,holiday,Nagasandra,1,s1068,t1135,1
GREEN,holiday,Nagasandra,1,s1068,t1137,1
GREEN,holiday,Nagasandra,1,s1068,t1139,1
GREEN,holiday,Nagasandra,1,s1068,t1141,1
GREEN,holiday,Nagasandra,1,s1068,t1143,1
GREEN,holiday,Nagasandra,1,s1068,t1145,1
GREEN,holiday,Nagasandra,1,s1068,t1147,1
GREEN,holiday,Nagasandra,1,s1068,t1149,1
GREEN,holiday,Nagasandra,1,s1068,t1151,1
GREEN,holiday,Nagasandra,1,s1068,t1153,1
GREEN,holiday,Nagasandra,1,s1068,t1155,1
GREEN,holiday,Nagasandra,1,s1068,t1157,1
GREEN,holiday,Nagasandra,1,s1068,t1159,1
GREEN,holiday,Nagasandra,1,s1068,t1161,1
GREEN,holiday,Nagasandra,1,s1068,t1163,1
GREEN,holiday,Nagasandra,1,s1068,t1165,1
GREEN,holiday,Nagasandra,1,s1068,t1167,1
GREEN,holiday,Nagasandra,1,s1068,t1169,1
GREEN,holiday,Nagasandra,1,s1068,t1171,1
GREEN,holiday,Nagasandra,1,s1068,t1173,1
GREEN,holiday,Nagasandra,1,s1068,t1175,1
GREEN,holiday,Nagasandra,1,s1068,t1177,1
GREEN,holiday,Nagasandra,1,s1068,t1180,1
GREEN,holiday,Nagasandra,1,s1068,t1182,1
GREEN,holiday,Nagasandra,1,s1068,t1184,1
GREEN,holiday,Nagasandra,1,s1068,t1186,1
GREEN,holiday,Nagasandra,1,s1068,t1188,1
GREEN,holiday,Nagasandra,1,s1068,t1190,1
GREEN,holiday,Nagasandra,1,s1068,t1192,1
GREEN,holiday,Nagasandra,1,s1068,t1194,1
GREEN,holiday,Nagasandra,1,s1068,t1197,1
GREEN,holiday,Nagasandra,1,s1068,t1199,1
GREEN,holiday,Nagasandra,1,s1068,t1201,1
GREEN,holiday,Nagasandra,1,s1068,t1203,1
GREEN,holiday,Nagasandra,1,s1068,t1205,1
GREEN,holiday,Nagasandra,1,s1068,t1207,1
GREEN,holiday,Nagasandra,1,s1068,t1209,1
GREEN,holiday,Nagasandra,1,s1068,t1211,1
GREEN,holiday,Nagasandra,1,s1068,t1215,1
GREEN,holiday,Nagasandra,1,s1068,t1217,1
GREEN,holiday,Nagasandra,1,s1068,t1219,1
GREEN,holiday,Nagasandra,1,s1068,t1221,1
GREEN,holiday,Nagasandra,1,s1068,t1223,1
GREEN,holiday,Nagasandra,1,s1068,t1225,1
GREEN,holiday,Nagasandra,1,s1068,t1227,1
GREEN,holiday,Nagasandra,1,s1068,t1229,1
GREEN,holiday,Nagasandra,1,s1068,t1232,1
GREEN,holiday,Nagasandra,1,s1068,t1234,1
GREEN,holiday,Nagasandra,1,s1068,t1236,1
GREEN,holiday,Nagasandra,1,s1068,t1238,1
GREEN,holiday,Nagasandra,1,s1068,t1240,1
GREEN,holiday,Nagasandra,1,s1068,t1242,1
GREEN,holiday,Nagasandra,1,s1068,t1244,1
GREEN,holiday,Nagasandra,1,s1068,t1248,1
GREEN,holiday,Nagasandra,1,s1068,t1250,1
GREEN,holiday,Nagasandra,1,s1068,t1252,1
GREEN,holiday,Nagasandra,1,s1068,t1254,1
GREEN,holiday,Nagasandra,1,s1068,t1256,1
GREEN,holiday,Nagasandra,1,s1068,t1258,1
GREEN,holiday,Nagasandra,1,s1068,t1260,1
GREEN,holiday,Nagasandra,1,s1068,t1264,1
GREEN,holiday,Nagasandra,1,s1068,t1266,1
