route_long_name,route_short_name,agency_id,route_desc,route_type,route_id
11th Block Anjanapura → KR Market (Kalasipalya) (11BAJP-KMT),215-NE,BMTC,"Via Avalahalli, Banashankari, Basavanagudi Police Station",3,4237
11th Block Anjanapura → Vidhana Soudha (ANP11-KMT-VSD),215-NE,BMTC,"Via Avalahalli, Banashankari, Basavanagudi Police Station",3,11433
11th Block Anjanapura → Vidhana Soudha Karnataka High Court (AJP11B-VSD),215-NE,BMTC,"Via Avalahalli, Banashankari, Basavanagudi Police Station",3,8177
1st Block Vishweshwaraiah Layout → KR Market (Kalasipalya) (VLO1-KMT),223-L,BMTC,Via Bengaluru University Gate,3,2050
1st Stage 3rd Block Nagarabhavi → Deepanjalinagara (NBV1S-DPJN),238-D,BMTC,"Via Chandra Layout Circle, Kempegowda Bus Station",3,2572
1st Stage 3rd Block Nagarabhavi → Shivajinagara Bus Station (NBV1S-SBS),238-D,BMTC,"Via Chandra Layout Circle, Kempegowda Bus Station",3,2570
2nd Stage 9th Block Nagarabhavi → Kempegowda Bus Station (NGV9-KBS),244-C,BMTC,"Via KHB Colony, Papareddypalya",3,6380
2nd Stage Kanteeravanagara → Kempegowda Bus Station (2SKTN-KBS),80-E,BMTC,"Via Mahalakshmi Layout Entrance, Rajajinagara Entrance",3,7952
2nd Stage Kanteeravanagara → Yeshawanthapura Bus Station (2KTN-YTTMC),80-E-KNN-2,BMTC,2KTN-YTTMC,3,9226
2nd stage Kuvempunagara → Jalahalli East (2KVP-JHE),2KVP-JHE,BMTC,Via Gangamma Circle,3,8881
2nd stage Kuvempunagara → KR Market (2KVP-KMT),271-B,BMTC,"Via Mathikere, BEL Circle, Malleshwara Circle",3,8878
2nd stage Kuvempunagara → Kempegowda Bus Station (2KVP-KBS),271-B,BMTC,"Via Mathikere, BEL Circle, Malleshwara Circle",3,8872
5th Block HBR Layout → Kalyananagara Bus Stand (5BHBRL-KLN),KLNB-HBRL,BMTC,Via nan,3,7405
5th Phase Yelahanka New Town → Bishop Coton Girls High School (YSTF-BCGHS),290-EA,BMTC,"Via Nagavara, Kogilu, NES Office",3,11664
5th Phase Yelahanka New Town → Central Silk Board (5FYST-CSB),500-AA,BMTC,"Via Tin Factory, Hebbala, NES Office, Marathahalli Bridge",3,7514
5th Phase Yelahanka New Town → Central Silk Board (YSTF-CSB),500-DY,BMTC,"Via Marathahalli Bridge, Yelahanka Satellite Town, Thanisandra, RK Hegde Nagara, Kogilu Cross, Tin Factory, Agara Junction",3,5490
5th Phase Yelahanka New Town → Depot-45 Gate (YSTF-D45G),D45G-YSTF,BMTC,Via Atturu Layout,3,6370
5th Phase Yelahanka New Town → Electronic City (YHK5-ELC),V-500DA,BMTC,"Via Kodigehalli Gate, Central Silk Board, Hebbala Bridge, Tin Factory",3,3918
5th Phase Yelahanka New Town → Kempegowda Bus Station (YSTF-KBS),402-B,BMTC,"Via Yalahanka Satellite Town, NES Office, RM Guttahalli, Hebbala",3,2233
5th Phase Yelahanka New Town → Kempegowda Bus Station (YSTF-VSD-KBS),402-D,BMTC,"Via Yalahanka Satellite Town, Hebbala, NES Office",3,2021
5th Phase Yelahanka New Town → Krishnaraja Pura Govt Hospital (YSTF-KRPGH),507-D,BMTC,"Via Kogilu Cross, Kalyananagara, NES Office, Ramamurthy Nagara Alada Mara, RK Hegde Nagara, Yelahanka Satellite Town",3,5448
5th Phase Yelahanka New Town → Krishnaraja Pura Govt Hospital (YSTF-KRPGH),507-DY,BMTC,"Via Ramamurthy Nagara Alada Mara, Kalyananagara, RK Hegde Nagara",3,13054
5th Phase Yelahanka New Town → MG Road Metro Station (YSTF-MGRMS),G-9,BMTC,"Via NES Office, Shivajinagara Bus Station, RT Nagara Police Station, Yalahanka Satellite Town",3,2249
5th Phase Yelahanka New Town → Puttenahalli (YSTF-PTH),PTH-YSTF,BMTC,Via Wheel And Axle Plant,3,2452
5th Phase Yelahanka New Town → Shivajinagara Bus Station (5PYNT-SBS),296-K,BMTC,"Via Ittige Factory, Lingarajapura Bridge, Nagawara Junction",3,5139
5th Phase Yelahanka New Town → Shivajinagara Bus Station (YSTF-SBS),290-EA,BMTC,"Via Nagavara, Kogilu, NES Office",3,4818
5th Phase Yelahanka New Town → Shivajinagara Bus Station (YSTF-SBS),290-EH,BMTC,"Via Nagavara, Yalahanka Satellite Town, Thanisandra, NES Office",3,12520
80 feet Road Kalyananagara → Shivajinagara Bus Station (80FRK-SBS),302,BMTC,"Via Coles Park, ITC Factory",3,11662
8th Mile Dasarahalli → 8th Mile Dasarahalli (8th Mile -8th Mile),BC-7C,BMTC,Via Nelagadarenahalli,3,8707
8th Mile Dasarahalli → 8th Mile Dasarahalli (8th Mile-8th Mile),BC-7CA,BMTC,"Via Marison Factory, Nelagadarenahalli",3,8714
8th Mile Dasarahalli → Byadarahalli (8THM-BDH),BC-7B,BMTC,"Via Andhrahalli, Nelagadarenahalli",3,7222
8th Mile Dasarahalli → Depot-31 Gate (8MYL-D31G),BC-7H,BMTC,Via Nelagadarenahalli,3,11213
